code,title,authors,area,subarea,edition,language,volume,subtitle,isbn,year,publisher,barcode
FIS-02.06,Mecânica Analítica Clássica,"Ivan Barros, Manuel Valentim Garcia",FIS,,1,1,,,,,,
FIS-02.07,Mecânica Analítica,J. W. Leech,FIS,,1,1,,,,,,
FIS-02.08,Métodos Matemáticos da Mecânica Clássica,V. Arnold,FIS,,1,1,,,,,,
FIS-02.09,Problemas de Mecânica Teórica,I.V. Mechtcherski,FIS,,1,1,,,,,,
FIS-02.10,Introduction to Classical Mechanics,David Morin,FIS,,1,2,,Solutions Manual,,,,
FIS-02.11  v.2,Principia,Sir Isaac Newton,FIS,,1,2,2,The System of the World,,,,
QUI-02.01,Physical Chemistry,Peter William Atkins,QUI,,4,2,,,,,,
QUI-02.01,Physical Chemistry,Peter William Atkins,QUI,,4,2,,,,,,
QUI-02.01,Physical Chemistry,Peter William Atkins,QUI,,4,2,,,,,,
QUI-02.01,Physical Chemistry,Peter William Atkins,QUI,,4,2,,,,,,
QUI-02.01,Physical Chemistry,Peter William Atkins,QUI,,4,2,,,,,,
QUI-02.01,Physical Chemistry,Peter William Atkins,QUI,,4,2,,,,,,
QUI-02.01,Physical Chemistry,Peter William Atkins,QUI,,4,2,,,,,,
QUI-02.01  v.1,Fisicoquímica,Peter William Atkins,QUI,,6,1,1,,,,,
QUI-02.01  v.2,Físicoquímica,Peter William Atkins,QUI,,6,1,2,,,,,
QUI-02.01  v.3,Fisicoquímica,Peter William Atkins,QUI,,6,1,3,,,,,
QUI-02.02,Physical Chemistry: A Molecular Approach,"Donald A. McQuarrie, John D. Simon",QUI,,1,2,,,,,,
QUI-02.03,Fundamentos de termodinâmica e cinética química,Edward de Souza,QUI,,1,1,,,,,,
QUI-02.04,Introdução à Química dos Coloides e das Superfícies,Duncan J. Shar,QUI,,2,1,,,,,,
QUI-02.05,Eletroquímica: Princípios e Aplicações,Edson Antonio Ticianelli,QUI,,1,1,,,,,,
BIO-03.01,Evolutionary Genetics,John Maynard Smith,BIO,,1,2,,,,,,
BIO-03.01,Evolutionary Genetics,John Maynard Smith,BIO,,1,2,,,,,,
BIO-03.01,Evolutionary Genetics,John Maynard Smith,BIO,,1,2,,,,,,
BIO-03.01,Evolutionary Genetics,John Maynard Smith,BIO,,1,2,,,,,,
BIO-03.01,Evolutionary Genetics,John Maynard Smith,BIO,,1,2,,,,,,
BIO-03.02,The Making of a Fly,P. A. Lawrence,BIO,,1,2,,The Genetics of Animal Design,,,,
BIO-03.02,The Making of a Fly,P. A. Lawrence,BIO,,1,2,,The Genetics of Animal Design,,,,
BIO-03.03,Introdução à Genética,Anthony J. F. Griffiths,BIO,,6,1,,,,,,
BIO-03.04,Evolutionary Analysis,"Scott Freeman, Jon C. Herron",BIO,,4,2,,,,,,
BIO-03.05,The Rough Guide to Genes & Cloning,"Dr Jess Buxton, Jon Turney",BIO,,1,2,,,,,,
FIS-03.01,Understanding Thermodynamics,Hendrick C. Van Ness,FIS,,1,2,,,,,,
FIS-03.02,Thermodynamics and an Introduction to Thermostatistics,Herbert B. Callen,FIS,,2,2,,,,,,
FIS-03.03,Introduction to Modern Thermodynamics,Dilip Kondepudi,FIS,,1,2,,,,,,
